"","sex","relhead","yrborn","age","statebrn","marstat","edyrs","occ","hhincome","usstate1","usstatel","usplace1","usplacel","usdur1","usdurl"
"1",1,1,1938,49,11,2,3,522,250000,114,114,1600,1600,12,6
"2",1,1,1928,59,11,2,3,522,2e+05,105,105,7360,4480,12,12
"3",1,1,1950,37,11,1,6,410,1440000,105,114,7320,1600,36,48
"4",1,1,1946,41,11,2,6,522,3e+05,106,199,2080,9999,6,6
"5",1,1,1956,31,11,2,6,142,3e+05,105,105,4480,4480,12,12
"6",1,1,1921,66,14,2,0,529,2e+05,105,105,7360,7360,24,24
"7",1,1,1914,73,11,2,0,830,240000,105,104,9999,9999,6,6
"8",1,1,1932,55,11,2,6,719,90000,105,106,6920,2080,6,6
"9",1,1,1945,42,11,3,6,559,2e+05,105,105,7320,7320,6,6
"10",1,1,1945,42,11,2,6,819,3e+05,105,105,9999,9999,12,12
"11",1,1,1936,51,11,4,3,522,240000,105,105,5945,7485,8,4
"12",1,1,1951,36,11,2,2,529,180000,105,105,7320,4480,12,8
"13",1,1,1946,41,11,2,6,419,240000,105,105,7320,7320,12,6
"14",1,1,1918,69,11,2,2,529,3e+05,144,144,9999,9999,4,14
"15",2,1,1936,51,11,1,0,20,0,129,129,6720,6720,24,24
"16",1,1,1930,57,11,2,2,410,240000,144,144,1240,1240,36,24
"17",1,1,1933,54,11,2,3,559,360000,114,114,1600,1600,6,6
"18",1,1,1952,35,11,2,6,559,4e+05,105,105,7320,7320,12,12
"19",1,1,1947,40,11,2,3,410,180000,105,105,2840,2840,48,48
"20",1,1,1944,43,11,2,3,410,240000,105,105,4480,4480,24,24
"21",1,1,1924,63,11,2,3,410,240000,105,105,4480,4480,3,3
"22",1,1,1961,26,11,2,6,810,144000,105,105,7485,7485,12,12
"23",1,1,1928,59,11,2,0,410,240000,114,114,1600,1600,2,2
"24",1,1,1942,45,11,2,1,410,240000,126,144,3760,7777,3,24
"25",1,1,1913,74,11,2,0,410,240000,144,105,9999,9999,5,4
"26",1,1,1933,54,11,2,4,524,150000,144,144,9999,9999,1,1
"27",1,1,1950,37,11,2,5,50,0,105,105,6780,6780,4,96
"28",1,1,1957,31,11,2,6,549,500,105,129,7320,6720,50,18
"29",1,1,1955,33,11,2,0,810,700,129,129,6720,6720,48,66
"30",1,1,1949,39,11,2,3,410,425,105,129,4940,6720,174,54
"31",1,1,1957,31,11,2,6,810,550,144,129,7200,6720,3,138
"32",1,1,1962,26,11,2,6,549,710,129,129,6720,6720,127,6
"33",1,1,1951,37,11,2,4,810,475,129,129,6720,6720,13,6
"34",1,1,1970,18,11,1,6,810,350,105,105,2840,2840,6,6
"35",1,1,1968,20,11,1,9,810,500,129,129,6720,6720,42,42
"36",1,1,1968,20,11,1,6,549,750,129,129,6720,6720,42,30
"37",1,1,1953,35,11,2,2,549,525,105,129,4480,6720,12,126
"38",1,1,1955,33,11,2,4,519,313,105,105,7320,7320,12,6
"39",1,1,1961,27,11,2,14,810,500,129,129,6720,6720,6,6
"40",1,1,1955,33,11,2,6,549,600,105,105,4480,4480,9,6
"41",1,1,1960,28,11,2,9,419,570,105,105,680,680,9,12
"42",2,1,1920,68,11,4,3,50,389,114,114,1600,1600,342,342
"43",1,1,1964,24,11,2,12,549,1050,105,105,4480,4480,30,30
"44",1,1,1931,56,11,2,0,529,2e+05,144,148,9999,9999,504,48
"45",1,1,1928,59,11,2,0,50,0,105,105,4480,4480,36,36
"46",1,1,1946,41,11,2,3,522,180000,114,114,1600,1600,7,7
"47",1,1,1936,51,11,2,3,549,415000,114,114,1600,1600,96,96
"48",1,1,1933,54,11,2,0,713,150000,199,199,9999,9999,12,12
"49",1,1,1930,57,11,2,9,522,2e+05,117,144,9999,9999,84,12
"50",1,1,1943,44,11,2,0,549,5e+05,105,199,4480,9999,24,1
"51",1,1,1921,66,14,2,2,529,1e+05,144,144,7240,7240,18,18
"52",1,1,1940,47,11,2,0,549,3e+05,110,110,5000,5000,48,48
"53",1,1,1943,44,9,2,6,559,2e+05,144,144,9999,9999,6,6
"54",1,1,1928,59,24,2,4,719,2e+05,105,105,4480,4480,84,60
"55",1,1,1940,47,11,2,6,410,2e+05,105,105,9999,9999,60,60
"56",1,1,1924,63,32,2,2,523,5e+05,105,105,7485,7400,60,12
"57",1,1,1944,43,11,2,5,549,240000,105,105,4480,4480,24,24
"58",1,1,1914,73,11,2,0,719,3e+05,144,144,9999,9999,3,3
"59",1,1,1908,79,11,2,4,549,250000,105,105,8735,8735,12,12
"60",1,1,1940,47,11,2,4,830,80000,105,105,9999,9999,6,6
"61",1,1,1950,37,11,2,9,719,3e+05,144,144,1920,1920,7,7
"62",1,1,1919,68,14,2,0,50,0,117,117,9999,9999,4,4
"63",1,1,1941,46,11,2,6,529,150000,105,105,8735,4480,3,3
"64",1,1,1946,41,14,2,0,529,350000,199,199,9999,9999,5,5
"65",1,1,1956,31,11,2,6,719,3e+05,144,144,9999,9999,20,20
"66",1,1,1923,64,11,2,0,549,2e+05,105,105,4480,4480,240,240
"67",1,1,1949,38,11,2,6,559,4e+05,144,144,7240,7240,1,1
"68",1,1,1957,30,5,2,6,522,2e+05,105,105,4480,4480,3,3
"69",1,1,1931,56,17,2,0,522,2e+05,105,105,8735,8735,12,3
"70",1,1,1918,69,11,2,0,719,2e+05,105,105,9999,9999,6,6
"71",1,1,1941,46,11,3,0,721,2e+05,114,114,1600,1600,12,12
"72",1,1,1949,38,11,2,0,719,3e+05,138,105,9999,7480,36,24
"73",1,1,1944,43,11,2,6,559,2e+05,105,105,4480,4480,48,96
"74",1,1,1952,35,11,2,3,719,4e+05,105,105,9999,9999,24,24
"75",1,1,1948,49,11,2,2,9999,0,105,105,7320,7320,306,306
"76",1,1,1957,31,14,2,5,529,5e+05,105,105,7320,5945,9,4
"77",1,1,1936,52,14,2,0,559,6e+05,144,105,4880,7320,3,1
"78",1,1,1901,87,14,4,0,60,0,144,144,9999,2920,3,6
"79",1,1,1959,29,14,2,6,810,340000,105,144,9999,7777,18,6
"80",1,1,1934,54,14,2,0,529,40000,144,144,9999,9999,12,12
"81",1,1,1929,59,14,2,0,410,140000,144,105,4880,7320,2,1
"82",1,1,1939,49,14,2,0,410,280000,105,105,7320,7320,4,11
"83",1,1,1930,58,14,2,0,529,140000,144,105,9999,7320,2,10
"84",1,1,1946,42,14,2,2,410,140000,105,105,8720,7320,4,7
"85",1,1,1962,26,14,2,0,529,360000,105,144,7320,1920,3,24
"86",1,1,1936,52,14,2,0,410,140000,105,105,6920,6920,2,2
"87",1,1,1921,67,14,1,1,10,0,105,103,6780,9999,3,4
"88",1,1,1959,29,14,2,4,419,240000,105,105,7320,7320,6,6
"89",1,1,1949,39,14,2,6,549,240000,105,105,8720,8720,8,8
"90",1,1,1918,70,14,2,3,50,80000,105,105,8720,7360,9,2
"91",1,1,1918,70,14,2,0,529,2e+05,144,144,7777,7777,1,1
"92",1,1,1944,44,14,2,4,819,6e+05,105,105,9999,9999,2,2
